Credit_Limit,Sex,Education,Marital_Status,Age,Jan_Repay_Status,Previous_Payment_Prior_Jan,Jan_Statement,Feb_Repay_Status,Previous_Payment_Prior_Feb,Feb_Statement,Mar_Repay_Status,Previous_Payment_Prior_Mar,Mar_Statement,Apr_Repay_Status,Previous_Payment_Prior_Apr,Apr_Statement,May_Repay_Status,Previous_Payment_Prior_May,May_Statement,Jun_Repay_Status,Previous_Payment_Prior_Jun,Jun_Statement,July_Payment_Status
9600,1,3,3,32,6,110,138,5,2847,5298,11,1692,,7,331,1080,12,535,1671,3,4800,6799,1
14400,2,3,2,30,-2,0,132,-2,0,0,-2,0,0,-2,0,0,-2,45,0,-2,136,45,0
8100,1,1,2,29,-1,133,7,-1,1700,132,-1,0,1541,-1,751,-4,-1,498,747,-1,381,496,0
2700,2,2,1,31,0,104,2891,0,140,2864,0,120,2898,0,40,2842,0,60,1187,0,19,1153,0
14500,2,2,1,37,-2,309,403,-2,94,309,-2,381,94,-2,362,381,-2,0,362,-2,116,0,0
1300,2,2,3,18,4,120,1055,1,23,286,9,110,1288,6,274,816,-1,0,4,11,147,770,0
8300,2,2,2,33,0,200,1850,0,200,2019,0,200,2161,0,180,2324,0,200,2465,0,200,2623,0
6400,1,1,2,30,-1,0,129,-1,150,-21,-1,0,120,0,0,29,0,36,0,-1,0,36,0
3600,2,2,1,38,0,140,3699,0,133,3628,0,84,3229,0,102,2792,0,120,2555,0,3730,1605,1
6300,1,5,1,66,2,624,2513,9,1001,1407,2,69,457,8,1165,1695,2,3317,5518,11,3303,3400,0
8000,2,2,2,28,0,120,2478,0,120,2533,0,120,2588,0,100,2641,0,105,2673,0,108,2736,0
3300,2,1,2,30,0,78,1469,0,147,1523,0,52,1632,2,0,1430,2,60,1307,0,48,1304,0
9500,2,1,1,39,2,0,100,2,0,100,2,0,100,2,0,0,-2,0,0,-2,0,0,1
16800,1,1,2,35,0,602,16523,0,643,16561,0,506,16683,0,2028,13934,0,801,11486,0,405,10449,0
6400,1,1,2,29,-1,0,22,-1,28,-3,-1,0,25,-1,26,0,-1,0,13,0,0,13,0
11600,2,1,2,28,-1,435,1285,-1,211,433,-2,1303,210,-1,1166,1292,-1,72,1140,-1,455,72,0
17200,2,2,1,30,-2,0,-612,-2,5830,-1334,-1,0,3830,2,100,3115,0,81,2507,0,80,1951,0
2100,2,3,1,23,2,81,1992,0,82,2026,0,81,1671,0,41,683,0,56,376,-1,760,42,1
2300,2,2,1,49,2,112,2408,0,104,2430,0,84,2434,0,40,2356,0,40,774,0,28,781,1
5900,1,2,2,26,0,240,5380,0,280,5524,0,88,3570,0,1940,1987,0,144,3881,0,140,3969,0
15600,2,1,2,32,0,121,306,0,80,340,0,260,164,0,80,334,0,40,304,0,40,321,0
2500,1,1,2,28,0,166,615,-1,777,165,0,40,778,0,40,716,0,40,739,0,40,754,0
11300,2,1,1,38,-1,40,312,0,17,234,-1,82,17,-1,31,82,-1,23,31,-1,41,23,1
1900,2,1,2,28,1,60,1752,2,52,1767,0,96,171,0,88,200,0,0,229,0,131,59,0
19900,1,1,1,57,-2,200,548,-2,1247,200,-2,127,1245,-2,0,127,-2,212,0,-2,31,212,0
7900,2,3,1,41,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,20,0,0
1900,2,2,2,31,0,90,1966,0,76,1989,0,72,1977,0,28,1607,0,40,767,0,40,642,1
3300,1,1,2,26,0,84,2689,0,240,991,0,8,800,0,0,800,0,0,800,0,0,0,0
1900,1,3,1,52,0,65,1532,0,82,1572,0,187,1628,0,0,1774,2,159,1741,2,0,1873,0
2000,1,3,2,60,0,72,1854,0,80,1896,0,60,1945,0,40,1966,0,48,1108,0,44,1102,0
10700,1,1,1,38,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
1500,2,1,2,29,0,200,1237,0,61,1047,0,400,1090,0,400,1176,0,600,786,0,34,928,0
3300,2,2,1,39,2,156,3144,2,160,3227,2,0,3309,2,77,3234,0,72,1983,0,72,1934,1
800,1,2,2,47,0,76,584,0,40,650,2,40,667,0,40,696,0,75,725,0,40,787,0
3900,2,2,1,24,0,80,830,0,80,802,0,240,791,0,160,998,0,160,1146,0,120,335,0
2000,1,2,1,24,0,72,1929,0,68,1910,0,63,1846,0,80,1823,0,80,1816,0,64,1799,0
8400,2,2,1,31,-1,33,79,-1,0,30,-1,0,0,-2,0,0,-2,0,0,-2,0,0,1
14900,1,1,2,32,0,200,1424,0,120,1593,0,200,1663,0,200,1767,0,320,1914,0,400,2174,0
4300,1,2,1,40,0,200,2811,0,200,2964,0,320,3116,0,0,3384,2,280,3294,2,0,3487,1
4500,2,3,1,41,0,233,4652,0,231,4751,0,200,4841,0,168,4771,0,200,4646,0,200,4555,0
5300,2,2,1,35,1,0,0,-2,12,0,-1,147,12,-1,59,147,-1,222,59,-1,59,222,0
3300,2,2,1,37,0,100,2542,0,400,2392,0,120,2745,0,120,1626,0,200,1297,0,200,1466,0
4800,2,2,2,28,2,212,4474,2,144,4570,2,0,4612,2,136,4496,0,140,4571,0,180,4653,1
10100,2,2,2,23,-1,54,38,-1,105,54,-1,0,105,0,0,73,0,46,39,-1,69,46,1
2700,1,1,2,44,1,3,2958,2,120,2884,0,186,1858,0,40,1870,0,40,851,0,0,575,0
5900,1,3,1,52,0,103,3552,0,105,3626,0,106,3700,0,160,3775,0,126,3904,0,89,3997,1
2500,1,1,2,33,0,120,2317,0,120,1990,0,0,2056,0,0,0,-2,0,0,-2,0,0,0
10800,2,2,1,40,-1,0,33,2,33,17,-1,0,33,0,23,17,-1,17,23,-1,17,17,0
1500,2,2,1,39,0,120,1540,0,80,1475,0,60,1519,0,60,1446,0,60,1477,0,80,1507,0
16000,1,1,2,35,-1,521,15,-1,52,508,-1,0,52,-1,0,0,-2,122,0,-1,151,122,0
7200,1,1,1,35,0,145,3428,0,96,3372,0,940,2488,0,152,3274,0,148,3143,0,20,3100,0
4100,2,2,2,41,-1,0,63,-1,0,-1,-2,0,-1,-2,114,-1,-1,85,113,-1,0,85,0
2900,2,2,1,36,1,76,1207,2,48,1252,2,56,1267,2,52,1290,2,56,1316,2,56,1344,0
2700,1,3,2,36,0,107,2735,0,103,2796,0,63,2799,0,39,2285,0,40,1100,0,80,1087,1
1300,1,2,3,48,0,56,518,0,65,565,0,12,614,0,15,201,0,2,211,0,40,2,0
7600,1,3,1,30,-2,40,2065,-2,141,392,-2,37,137,-2,35,37,-2,0,-35,-2,63,-39,0
11100,2,1,1,37,0,161,3908,0,172,3588,0,166,3472,0,116,3513,0,100,3531,0,104,3587,0
2800,1,2,1,35,-1,197,16,-1,45,197,0,43,223,0,8,246,0,40,235,0,9,256,1
15500,2,2,1,43,2,181,3146,2,0,2406,2,61,1610,0,0,1655,0,40,1512,0,143,761,1
5500,1,2,1,72,0,203,5408,0,200,5413,0,200,5398,0,241,5431,0,201,5547,0,211,5488,0
5600,2,2,1,24,0,91,2510,0,95,2560,0,97,2614,0,97,2667,0,101,2720,0,120,2777,0
8900,1,2,1,36,0,260,5782,0,188,5499,0,200,5377,0,200,5283,0,200,5253,0,400,5219,0
2000,2,2,2,34,0,160,500,0,80,651,0,40,717,0,80,643,0,96,682,0,40,761,0
700,2,2,2,27,0,58,718,0,40,752,0,6,774,0,4,320,0,0,196,0,0,0,0
2800,2,2,2,35,0,116,2488,0,95,2563,0,179,2592,0,0,2666,2,73,2028,0,74,2032,0
3100,2,1,2,28,0,68,1140,0,60,1061,0,68,929,0,40,926,0,40,886,0,40,859,0
5300,2,2,1,29,0,80,1289,0,80,1348,0,80,1394,0,40,1362,0,80,1313,0,285,668,0
4100,2,2,2,31,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
16700,2,1,2,39,-1,610,887,-1,541,610,-1,3234,541,-1,31,3233,0,34,1573,0,3014,1073,0
11900,1,3,1,57,1,7,0,-1,51,7,-1,454,51,-1,15,454,-1,34,15,-1,0,34,0
1100,2,3,1,37,0,80,1210,0,65,1207,0,58,1190,0,32,1099,0,200,1097,0,40,1105,1
9200,2,1,1,44,-2,0,0,-2,0,0,-2,0,0,-2,0,0,-2,5,0,-2,49,5,0
9900,1,1,2,27,0,100,2051,0,100,2102,0,80,2151,0,80,2180,0,120,2227,0,164,2319,0
9700,2,2,1,26,0,264,7039,0,148,5970,0,124,3748,0,100,3249,0,121,2862,0,1808,2912,0
5900,2,1,2,26,-1,190,292,-1,77,190,-1,326,77,-1,119,326,-1,346,119,-1,0,346,0
500,1,3,1,34,0,45,301,0,46,326,0,46,351,0,13,375,0,17,383,0,7,362,1
1300,2,2,1,27,-2,0,17,-2,0,0,-2,12,0,-2,0,12,-2,0,0,-2,0,0,0
8300,2,4,,67,7,5433,6384,11,464,3961,6,99,1408,11,3156,3448,1,721,6145,5,3867,4501,1
9100,2,2,2,32,0,0,1916,0,0,0,-2,50,0,-1,3206,50,-1,124,3206,0,114,3271,0
10800,2,1,2,25,1,0,0,-2,253,0,-1,0,253,-1,0,0,-2,0,0,-2,0,0,0
6500,2,1,1,42,-1,318,976,-1,43,318,-1,0,43,-1,1604,0,-1,756,1604,-1,167,756,0
3100,1,2,2,29,1,0,2143,2,240,2085,2,88,2266,2,0,2294,2,140,2233,2,140,2330,1
1100,1,2,2,29,0,74,1200,0,40,1196,0,68,1142,0,994,-9,-1,140,957,0,120,1066,0
4400,2,2,2,27,0,160,3258,0,160,3330,0,136,3398,0,136,3442,0,280,3522,0,138,3736,0
12000,1,2,2,30,-1,3143,3451,-1,1936,3127,-1,542,1927,-1,206,538,-1,228,205,-1,541,227,0
11900,1,1,2,29,-1,0,175,-1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
10500,1,2,2,32,0,0,2423,0,0,-3,-2,22,-3,-1,182,18,-1,6640,-318,-1,240,6264,0
6300,2,2,1,31,0,0,2056,0,0,0,-2,0,0,-2,0,0,-2,0,0,-2,0,0,0
11300,2,1,2,34,-1,283,165,-1,522,280,-1,0,519,-1,57,0,-1,226,56,-1,242,226,0
2100,2,3,1,27,2,1089,451,0,70,1506,0,116,1540,0,0,1626,2,51,1589,0,33,1426,1
700,1,3,1,42,0,46,326,0,80,360,0,80,434,0,40,507,0,32,526,0,40,550,0
15700,2,2,1,31,-1,186,330,-1,307,184,-1,118,304,-1,3499,118,-1,146,3472,-1,311,145,0
8800,1,1,2,38,0,52,1374,0,80,1403,0,80,1294,0,1200,1263,0,120,2051,0,80,2144,0
5100,1,2,1,39,0,100,1040,0,132,1122,0,0,1236,2,103,1204,2,0,1287,2,129,1261,1
6500,2,2,1,36,-1,200,2477,0,120,2637,0,240,2689,0,240,2864,0,400,3020,0,200,3357,0
6300,1,2,1,25,0,174,4481,0,161,3432,0,88,2684,0,160,1207,0,0,0,-2,0,0,1
11700,1,2,2,27,0,129,3954,0,124,3586,0,6402,2018,0,198,7747,0,208,7523,0,183,6484,0
2900,2,3,1,51,-2,42,1094,-2,754,-42,-1,26,703,0,27,717,0,27,732,0,28,746,0
7500,1,2,2,28,0,297,6210,0,276,5447,0,204,5561,0,400,5601,0,220,5855,0,268,5958,0
15700,2,1,2,29,0,172,3445,0,137,3565,0,134,3612,0,139,3690,0,200,3767,0,400,3902,0
500,1,1,2,23,-1,0,31,2,16,16,-1,0,16,-1,31,0,-1,0,31,-1,0,0,1
2900,2,2,1,26,2,144,1031,2,0,1158,2,41,1127,0,96,1138,0,48,1215,2,0,1237,1
9600,1,1,1,58,2,280,7377,0,247,7543,0,240,7680,0,238,7415,0,211,7183,0,7702,3712,1
900,2,2,1,27,0,52,707,0,51,669,0,72,708,0,0,769,2,40,752,0,40,773,1
3200,2,1,2,28,0,0,172,0,0,0,-2,115,0,-1,74,115,-1,40,74,0,80,114,0
3600,1,2,1,56,0,144,3749,0,204,3433,0,88,3560,0,88,2031,0,78,2037,0,88,1949,0
3200,2,1,2,26,0,120,1527,0,80,1622,2,40,1663,2,100,1664,2,40,1731,2,80,1736,1
2100,1,2,1,34,1,0,0,-2,0,0,-2,0,0,-2,0,0,-2,93,0,-1,0,118,0
800,2,1,2,21,-1,11,308,-1,56,11,-1,422,56,-1,0,422,0,384,380,-1,20,384,1
1900,2,1,1,23,-1,120,234,0,108,349,0,317,400,0,0,717,0,6,272,-1,8,6,0
20100,1,2,1,39,1,0,3666,2,180,3539,0,288,3608,0,0,3785,2,136,3705,0,92,3239,0
2100,1,2,2,28,2,0,1723,2,64,1677,0,68,1536,0,41,1226,0,100,1239,0,0,1220,1
13600,2,1,2,25,1,105,688,2,54,770,2,21,800,2,1,789,2,9,762,0,56,469,0
2100,1,2,1,52,0,92,1857,0,80,1652,0,40,1610,0,40,611,0,40,569,0,40,600,0
5100,2,2,1,33,1,216,0,-1,200,216,0,140,411,0,20,543,0,40,555,0,80,585,0
700,1,2,2,42,0,51,629,0,64,669,0,52,722,0,27,750,0,34,765,0,35,787,0
6000,2,2,2,51,0,47,529,-1,0,47,-1,0,0,-2,0,0,-2,1430,0,-1,58,1430,0
7300,1,2,2,40,0,134,1179,0,0,1294,2,80,1261,0,49,1320,0,49,1347,0,108,1374,0
20000,2,1,1,33,-1,395,86,-1,163,395,-1,120,162,-1,120,120,-1,323,120,-1,240,323,0
4000,2,1,2,26,1,80,0,-1,36,40,-1,32,36,-1,0,28,-1,92,-12,-1,74,40,0
13200,2,2,1,40,1,0,11595,2,888,11355,2,480,12051,2,480,12270,2,39,12548,2,940,12378,0
1900,1,1,2,64,0,55,1854,0,47,802,0,21,749,0,40,714,0,19,584,0,17,453,0
12100,2,1,2,32,1,0,0,-2,494,0,-1,0,494,0,210,257,-1,280,210,-1,0,483,0
3100,2,1,2,22,0,64,351,0,0,191,0,0,0,-2,0,0,-2,0,0,-2,0,0,0
2000,1,2,2,22,0,80,1119,0,80,1149,0,41,1175,0,40,1166,0,280,1001,0,40,1184,0
1900,1,2,2,41,0,400,1712,0,841,1287,0,60,1944,0,120,301,0,48,373,0,316,-7,0
2100,2,2,2,25,-2,0,0,-2,1484,0,-1,52,1484,2,0,1501,2,60,1465,0,56,1501,0
5700,1,1,1,57,2,0,4346,2,439,4220,2,152,4527,2,190,4545,2,77,4656,3,333,4633,1
14400,2,1,2,33,0,245,6689,0,292,6674,0,245,5996,0,180,5524,0,187,5525,0,162,5613,0
11300,1,1,2,33,-1,0,86,-1,0,0,-2,233,0,-1,117,233,-1,1694,116,-1,97,1685,1
8000,2,1,2,27,1,336,2232,-1,197,334,-1,204,196,-1,782,203,-1,0,779,-1,5,0,0
19900,2,1,2,29,2,240,3942,0,526,4082,0,0,4468,2,120,3123,0,200,3135,0,400,3236,1
2400,1,3,2,28,0,88,2255,0,112,2306,0,71,2381,0,54,2345,0,60,1540,0,61,1540,0
10400,2,2,1,31,-2,361,134,-2,174,359,-2,557,173,-2,80,554,-2,226,79,-2,159,225,0
14400,2,2,1,32,0,41,704,0,1,239,0,66,-1,-2,3560,-67,-2,120,3493,-2,120,3584,0
8400,2,2,1,34,0,61,538,0,52,591,0,45,598,0,17,630,0,16,643,0,11,551,0
3300,1,1,2,33,-2,520,10064,-1,0,10584,2,48,175,0,20,220,0,40,236,0,40,272,0
3900,1,2,1,29,-1,84,48,-1,0,84,-1,0,0,-2,0,0,-2,0,0,-2,173,0,1
1900,2,2,1,49,0,83,2048,0,94,2026,0,70,1960,0,65,1976,0,61,1954,0,88,1911,0
1300,2,2,2,20,0,144,1089,0,0,1159,2,56,1114,0,19,1098,0,17,974,0,0,848,0
6300,1,2,1,42,-1,52,13,-1,26,52,-1,3186,13,-1,0,3186,0,1973,13,-1,13,1973,1
3200,2,2,2,45,0,127,3082,0,104,3124,0,120,2340,0,68,2042,0,28,761,0,35,777,0
19700,2,2,2,36,0,2091,558,-1,2297,434,-1,43,2297,0,120,1422,0,921,634,-1,809,921,0
5100,2,2,1,40,-1,47,102,0,54,75,-1,64,54,-1,25,64,-1,34,25,-1,116,34,0
3700,2,3,1,48,0,144,4180,0,135,3998,0,133,3808,0,127,3620,0,160,3426,0,94,3191,0
21100,2,3,1,49,0,400,8795,0,400,8941,0,400,8264,0,280,11034,0,280,6526,0,200,6594,0
12100,2,1,2,37,1,0,414,3,0,388,2,0,151,0,0,77,0,94,13,-1,0,94,0
4700,1,3,1,39,-1,56,488,2,0,524,2,200,504,0,200,695,0,0,883,3,0,857,1
7500,0,3,1,70,4,1192,2123,6,396,583,7,1211,1567,6,1414,2374,10,1323,3901,2,1570,3120,0
14400,2,2,2,33,0,200,466,0,400,565,0,200,940,0,140,525,0,0,539,0,0,0,0
1300,2,2,1,55,2,72,1040,2,52,1084,2,96,1106,2,0,1172,3,48,1142,2,100,1165,1
16300,2,2,2,43,0,65,1500,0,41,1341,0,569,291,-1,5285,568,-1,6521,5284,0,401,11576,0
7900,1,1,1,30,3,0,100,2,0,100,2,0,100,2,0,100,2,0,100,2,0,100,1
900,1,2,2,23,2,36,626,3,64,640,2,8,682,2,24,667,2,28,668,0,84,679,0
